episode,total_reward,epsilon
246,-20.7800,0.69020
247,-18.3800,0.68916
248,-21.2600,0.68813
249,-13.5800,0.68710
250,-20.3000,0.68607
251,-21.7400,0.68504
252,-19.8200,0.68401
253,-19.8200,0.68298
254,-17.4200,0.68196
255,-22.7000,0.68094
256,-19.3400,0.67991
257,-21.7400,0.67889
258,-20.3000,0.67788
259,-7.8200,0.67686
260,-6.8600,0.67584
261,4.4800,0.67483
262,-15.5000,0.67382
263,-15.0200,0.67281
264,-20.3000,0.67180
265,-7.8200,0.67079
266,-8.3000,0.66978
267,-9.2600,0.66878
268,-9.7400,0.66778
269,-18.8600,0.66677
270,-5.9000,0.66577
271,-8.7800,0.66478
272,-22.7000,0.66378
273,-16.9400,0.66278
274,-7.3400,0.66179
275,-17.4200,0.66080
276,-15.5000,0.65980
277,-21.7400,0.65881
278,-12.6200,0.65783
279,-22.2200,0.65684
280,-19.8200,0.65585
281,-18.3800,0.65487
282,-16.4600,0.65389
283,-6.8000,0.65291
284,-23.6600,0.65193
285,1.0000,0.65095
286,-9.7400,0.64997
287,8.3400,0.64900
288,-21.2600,0.64803
289,-8.7800,0.64705
290,-19.3400,0.64608
291,3.3400,0.64511
292,-18.8600,0.64415
293,-8.7800,0.64318
294,-23.6600,0.64221
295,-19.8200,0.64125
296,-19.3400,0.64029
297,-19.3400,0.63933
298,-14.5400,0.63837
299,-9.2600,0.63741
300,-17.4200,0.63646
301,-18.3800,0.63550
302,-18.8600,0.63455
303,-19.3400,0.63360
304,-12.6200,0.63265
305,-21.7400,0.63170
306,9.4000,0.63075
307,-16.4600,0.62980
308,-4.6200,0.62886
309,-18.3800,0.62792
310,-8.7800,0.62697
311,-8.7800,0.62603
312,-19.3400,0.62509
313,-19.3400,0.62416
314,-20.7800,0.62322
315,-15.9800,0.62229
316,-17.9000,0.62135
317,-21.2600,0.62042
318,-1.2800,0.61949
319,-17.4200,0.61856
320,-20.7800,0.61763
321,-6.8600,0.61671
322,-20.7800,0.61578
323,9.3800,0.61486
324,-17.9000,0.61394
325,-15.9800,0.61301
326,-8.3000,0.61209
327,-16.4600,0.61118
328,8.4000,0.61026
329,-20.3000,0.60934
330,-17.4200,0.60843
331,-21.7400,0.60752
332,-8.3000,0.60661
333,-9.7400,0.60570
334,-12.6200,0.60479
335,-18.8600,0.60388
336,-12.1400,0.60298
337,5.7800,0.60207
338,7.6800,0.60117
339,-15.9800,0.60027
340,-8.3000,0.59937
341,7.1800,0.59847
342,-18.3800,0.59757
343,6.0600,0.59667
344,-8.3000,0.59578
345,-18.3800,0.59488
346,-17.4200,0.59399
347,-21.2600,0.59310
348,8.2600,0.59221
349,-8.7800,0.59132
350,-18.3800,0.59044
351,7.2000,0.58955
352,-18.8600,0.58867
353,-15.9800,0.58778
354,-18.3800,0.58690
355,9.8800,0.58602
356,2.8000,0.58514
357,-18.3800,0.58426
358,-9.7400,0.58339
359,3.4400,0.58251
360,-17.9000,0.58164
361,-21.7400,0.58077
362,-19.8200,0.57989
363,-19.3400,0.57902
364,-18.8600,0.57816
365,-18.3800,0.57729
366,7.9200,0.57642
367,-19.8200,0.57556
368,-20.7800,0.57470
369,-16.4600,0.57383
370,-17.4200,0.57297
371,-16.9400,0.57211
372,-15.5000,0.57125
373,-21.2600,0.57040
374,-16.4600,0.56954
375,7.7200,0.56869
376,-9.7400,0.56783
377,-6.8600,0.56698
378,9.2800,0.56613
379,-14.0600,0.56528
380,-15.9800,0.56444
381,-14.5400,0.56359
382,-23.1800,0.56274
383,-17.9000,0.56190
384,-16.4600,0.56106
385,-18.8600,0.56021
386,-9.7400,0.55937
387,-19.8200,0.55854
388,-21.2600,0.55770
389,9.4800,0.55686
390,-15.5000,0.55603
391,-15.0200,0.55519
392,-6.3800,0.55436
393,-20.3000,0.55353
394,-17.4200,0.55270
395,-21.2600,0.55187
396,-6.3800,0.55104
397,-22.2200,0.55021
398,-7.3400,0.54939
399,-17.4200,0.54856
400,-19.3400,0.54774
401,9.9800,0.54692
402,-15.0200,0.54610
403,2.4800,0.54528
404,-17.9000,0.54446
405,-16.9400,0.54365
406,-15.0200,0.54283
407,-15.0200,0.54202
408,-8.3000,0.54120
409,-12.1400,0.54039
410,-16.9400,0.53958
411,-13.5800,0.53877
412,-13.1000,0.53796
413,-8.3000,0.53716
414,-8.7800,0.53635
415,-18.8600,0.53555
416,-15.5000,0.53474
417,-19.8200,0.53394
418,-19.3400,0.53314
419,-11.1800,0.53234
420,-19.8200,0.53154
421,-19.8200,0.53074
422,-18.3800,0.52995
423,-13.1000,0.52915
424,-15.0200,0.52836
425,-16.9400,0.52757
426,-10.7000,0.52678
427,6.5000,0.52599
428,8.3000,0.52520
429,-19.3400,0.52441
430,-18.3800,0.52362
431,6.1600,0.52284
432,-10.2200,0.52205
433,-21.2600,0.52127
434,-25.5800,0.52049
435,-15.9800,0.51971
436,-7.3400,0.51893
437,-8.7800,0.51815
438,-14.0600,0.51737
439,-16.9400,0.51660
440,-18.8600,0.51582
441,-16.4600,0.51505
442,-9.2600,0.51427
443,-14.5400,0.51350
444,-16.9400,0.51273
445,-12.6200,0.51196
446,-7.3400,0.51120
447,-9.2600,0.51043
448,-16.9400,0.50966
449,-4.1000,0.50890
450,-15.0200,0.50814
451,-16.9400,0.50737
452,-15.0200,0.50661
453,-15.5000,0.50585
454,-13.5800,0.50509
455,-12.1400,0.50434
456,-10.7000,0.50358
457,-13.5800,0.50282
458,1.5600,0.50207
459,8.3600,0.50132
460,-16.9400,0.50056
461,9.8800,0.49981
462,-7.8200,0.49906
463,-19.3400,0.49832
464,-14.0600,0.49757
465,-15.0200,0.49682
466,-13.5800,0.49608
467,-8.3000,0.49533
468,-16.4600,0.49459
469,-17.4200,0.49385
470,-17.9000,0.49311
471,9.7600,0.49237
